Name,Area code,Time Zone
200,200,NA
201,201,EST
202,202,EST
203,203,EST
204,204,CST
205,205,CST
206,206,PST
207,207,EST
208,208,MPST
209,209,PST
210,210,CST
211,211,NA
212,212,EST
213,213,PST
214,214,CST
215,215,EST
216,216,EST
217,217,CST
218,218,CST
219,219,EST
220,220,EST
221,221,NA
222,222,NA
223,223,EST
224,224,CST
225,225,CST
226,226,EST
227,227,EST
228,228,CST
229,229,EST
230,230,NA
231,231,EST
232,232,NA
233,233,NA
234,234,EST
235,235,NA
236,236,PST
237,237,NA
238,238,NA
239,239,EST
240,240,EST
241,241,NA
242,242,EST
243,243,NA
244,244,NA
245,245,NA
246,246,A
247,247,NA
248,248,EST
249,249,EST
250,250,PST
251,251,CST
252,252,EST
253,253,PST
254,254,CST
255,255,NA
256,256,CST
257,257,NA
258,258,NA
259,259,NA
260,260,EST
261,261,NA
262,262,CST
263,263,NA
264,264,A
265,265,NA
266,266,NA
267,267,EST
268,268,A
269,269,EST
270,270,ESTCST
271,271,NA
272,272,EST
273,273,NA
274,274,CST
275,275,NA
276,276,EST
277,277,NA
278,278,NA
279,279,PST
280,280,NA
281,281,CST
282,282,NA
283,283,EST
284,284,A
285,285,NA
286,286,NA
287,287,NA
288,288,NA
289,289,EST
290,290,NA
291,291,NA
292,292,NA
293,293,NA
294,294,NA
295,295,NA
296,296,NA
297,297,NA
298,298,NA
299,299,NA
300,300,NA
301,301,EST
302,302,EST
303,303,M
304,304,EST
305,305,EST
306,306,CST
307,307,M
308,308,CSTM
309,309,CST
310,310,PST
311,311,NA
312,312,CST
313,313,EST
314,314,CST
315,315,EST
316,316,CST
317,317,EST
318,318,CST
319,319,CST
320,320,CST
321,321,EST
322,322,NA
323,323,PST
324,324,NA
325,325,CST
326,326,EST
327,327,CST
328,328,NA
329,329,NA
330,330,EST
331,331,CST
332,332,EST
333,333,NA
334,334,CST
335,335,NA
336,336,EST
337,337,CST
338,338,NA
339,339,EST
340,340,A
341,341,PST
342,342,NA
343,343,EST
344,344,NA
345,345,EST
346,346,CST
347,347,EST
348,348,NA
349,349,NA
350,350,NA
351,351,EST
352,352,EST
353,353,NA
354,354,EST
355,355,NA
356,356,NA
357,357,NA
358,358,NA
359,359,NA
360,360,PST
361,361,CST
362,362,NA
363,363,NA
364,364,ESTCST
365,365,EST
366,366,NA
367,367,EST
368,368,M
369,369,NA
370,370,NA
371,371,NA
372,372,NA
373,373,NA
374,374,NA
375,375,NA
376,376,NA
377,377,NA
378,378,NA
379,379,NA
380,380,EST
381,381,NA
382,382,NA
383,383,NA
384,384,NA
385,385,M
386,386,EST
387,387,NA
388,388,NA
389,389,NA
390,390,NA
391,391,NA
392,392,NA
393,393,NA
394,394,NA
395,395,NA
396,396,NA
397,397,NA
398,398,NA
399,399,NA
400,400,NA
401,401,EST
402,402,CST
403,403,M
404,404,EST
405,405,CST
406,406,M
407,407,EST
408,408,PST
409,409,CST
410,410,EST
411,411,NA
412,412,EST
413,413,EST
414,414,CST
415,415,PST
416,416,EST
417,417,CST
418,418,EST
419,419,EST
420,420,NA
421,421,NA
422,422,NA
423,423,ESTCST
424,424,PST
425,425,PST
426,426,NA
427,427,NA
428,428,EST
429,429,NA
430,430,CST
431,431,CST
432,432,CST
433,433,NA
434,434,EST
435,435,M
436,436,NA
437,437,EST
438,438,EST
439,439,NA
440,440,EST
441,441,A
442,442,PST
443,443,EST
444,444,NA
445,445,EST
446,446,NA
447,447,CST
448,448,EST
449,449,NA
450,450,EST
451,451,NA
452,452,NA
453,453,NA
454,454,NA
455,455,NA
456,456,NA
457,457,NA
458,458,MPST
459,459,NA
460,460,NA
461,461,NA
462,462,NA
463,463,EST
464,464,CST
465,465,NA
466,466,NA
467,467,NA
468,468,NA
469,469,CST
470,470,EST
471,471,NA
472,472,NA
473,473,A
474,474,CST
475,475,EST
476,476,NA
477,477,NA
478,478,EST
479,479,CST
480,480,M
481,481,NA
482,482,NA
483,483,NA
484,484,EST
485,485,NA
486,486,NA
487,487,NA
488,488,NA
489,489,NA
490,490,NA
491,491,NA
492,492,NA
493,493,NA
494,494,NA
495,495,NA
496,496,NA
497,497,NA
498,498,NA
499,499,NA
500,500,EST
501,501,CST
502,502,EST
503,503,PST
504,504,CST
505,505,M
506,506,A
507,507,CST
508,508,EST
509,509,PST
510,510,PST
511,511,NA
512,512,CST
513,513,EST
514,514,EST
515,515,CST
516,516,EST
517,517,EST
518,518,EST
519,519,EST
520,520,M
521,521,EST
522,522,EST
523,523,EST
524,524,EST
525,525,NA
526,526,NA
527,527,NA
528,528,NA
529,529,NA
530,530,PST
531,531,CST
532,532,NA
533,533,EST
534,534,CST
535,535,NA
536,536,NA
537,537,NA
538,538,NA
539,539,CST
540,540,EST
541,541,MPST
542,542,NA
543,543,NA
544,544,EST
545,545,NA
546,546,NA
547,547,NA
548,548,EST
549,549,NA
550,550,NA
551,551,EST
552,552,NA
553,553,NA
554,554,NA
555,555,NA
556,556,NA
557,557,CST
558,558,NA
559,559,PST
560,560,NA
561,561,EST
562,562,PST
563,563,CST
564,564,PST
565,565,NA
566,566,EST
567,567,EST
568,568,NA
569,569,NA
570,570,EST
571,571,EST
572,572,NA
573,573,CST
574,574,ESTCST
575,575,M
576,576,NA
577,577,EST
578,578,NA
579,579,EST
580,580,CST
581,581,EST
582,582,NA
583,583,NA
584,584,NA
585,585,EST
586,586,EST
587,587,M
588,588,EST
589,589,NA
590,590,NA
591,591,NA
592,592,NA
593,593,NA
594,594,NA
595,595,NA
596,596,NA
597,597,NA
598,598,NA
599,599,NA
600,600,EST
601,601,CST
602,602,M
603,603,EST
604,604,PST
605,605,CSTM
606,606,ESTCST
607,607,EST
608,608,CST
609,609,EST
610,610,EST
611,611,NA
612,612,CST
613,613,EST
614,614,EST
615,615,CST
616,616,EST
617,617,EST
618,618,CST
619,619,PST
620,620,CSTM
621,621,NA
622,622,EST
623,623,M
624,624,NA
625,625,NA
626,626,PST
627,627,NA
628,628,PST
629,629,CST
630,630,CST
631,631,EST
632,632,NA
633,633,NA
634,634,NA
635,635,NA
636,636,CST
637,637,NA
638,638,NA
639,639,CST
640,640,EST
641,641,CST
642,642,NA
643,643,NA
644,644,NA
645,645,NA
646,646,EST
647,647,EST
648,648,NA
649,649,EST
650,650,PST
651,651,CST
652,652,NA
653,653,NA
654,654,NA
655,655,NA
656,656,NA
657,657,PST
658,658,EST
659,659,CST
660,660,CST
661,661,PST
662,662,CST
663,663,NA
664,664,A
665,665,NA
666,666,NA
667,667,EST
668,668,NA
669,669,PST
670,670,(UTCST+10)
671,671,(UTCST+10)
672,672,PST
673,673,NA
674,674,NA
675,675,NA
676,676,NA
677,677,NA
678,678,EST
679,679,EST
680,680,EST
681,681,EST
682,682,CST
683,683,NA
684,684,UTCST-11
685,685,NA
686,686,NA
687,687,NA
688,688,NA
689,689,EST
690,690,NA
691,691,NA
692,692,NA
693,693,NA
694,694,NA
695,695,NA
696,696,NA
697,697,NA
698,698,NA
699,699,NA
700,700,EST
701,701,CSTM
702,702,PST
703,703,EST
704,704,EST
705,705,EST
706,706,EST
707,707,PST
708,708,CST
709,709,NA
710,710,EST
711,711,NA
712,712,CST
713,713,CST
714,714,PST
715,715,CST
716,716,EST
717,717,EST
718,718,EST
719,719,M
720,720,M
721,721,A
722,722,NA
723,723,NA
724,724,EST
725,725,PST
726,726,CST
727,727,EST
728,728,NA
729,729,NA
730,730,CST
731,731,CST
732,732,EST
733,733,NA
734,734,EST
735,735,NA
736,736,NA
737,737,CST
738,738,NA
739,739,NA
740,740,EST
741,741,NA
742,742,NA
743,743,EST
744,744,NA
745,745,NA
746,746,NA
747,747,PST
748,748,NA
749,749,NA
750,750,NA
751,751,NA
752,752,NA
753,753,NA
754,754,EST
755,755,NA
756,756,NA
757,757,EST
758,758,A
759,759,NA
760,760,PST
761,761,NA
762,762,EST
763,763,CST
764,764,NA
765,765,EST
766,766,NA
767,767,A
768,768,NA
769,769,CST
770,770,EST
771,771,NA
772,772,EST
773,773,CST
774,774,EST
775,775,PST
776,776,NA
777,777,NA
778,778,PST
779,779,CST
780,780,M
781,781,EST
782,782,A
783,783,NA
784,784,A
785,785,CSTM
786,786,EST
787,787,A
788,788,NA
789,789,NA
790,790,NA
791,791,NA
792,792,NA
793,793,NA
794,794,NA
795,795,NA
796,796,NA
797,797,NA
798,798,NA
799,799,NA
800,800,EST
801,801,M
802,802,EST
803,803,EST
804,804,EST
805,805,PST
806,806,CST
807,807,ESTCST
808,808,(UTCST-10)
809,809,EST
810,810,EST
811,811,NA
812,812,ESTCST
813,813,EST
814,814,EST
815,815,CST
816,816,CST
817,817,CST
818,818,PST
819,819,EST
820,820,PST
821,821,NA
822,822,EST
823,823,NA
824,824,NA
825,825,M
826,826,NA
827,827,NA
828,828,EST
829,829,EST
830,830,CST
831,831,PST
832,832,CST
833,833,EST
834,834,NA
835,835,NA
836,836,NA
837,837,NA
838,838,EST
839,839,EST
840,840,EST
841,841,NA
842,842,NA
843,843,EST
844,844,EST
845,845,EST
846,846,NA
847,847,CST
848,848,EST
849,849,EST
850,850,ESTCST
851,851,NA
852,852,NA
853,853,NA
854,854,EST
855,855,EST
856,856,EST
857,857,EST
858,858,PST
859,859,EST
860,860,EST
861,861,NA
862,862,EST
863,863,EST
864,864,EST
865,865,EST
866,866,EST
867,867,CSTMPST
868,868,A
869,869,A
870,870,CST
871,871,NA
872,872,CST
873,873,EST
874,874,NA
875,875,NA
876,876,EST
877,877,EST
878,878,EST
879,879,NA
880,880,NA
881,881,NA
882,882,NA
883,883,NA
884,884,NA
885,885,NA
886,886,NA
887,887,NA
888,888,EST
889,889,NA
890,890,NA
891,891,NA
892,892,NA
893,893,NA
894,894,NA
895,895,NA
896,896,NA
897,897,NA
898,898,NA
899,899,NA
900,900,EST
901,901,CST
902,902,A
903,903,CST
904,904,EST
905,905,EST
906,906,ESTCST
907,907,(UTCST-9)
908,908,EST
909,909,PST
910,910,EST
911,911,NA
912,912,EST
913,913,CST
914,914,EST
915,915,CSTM
916,916,PST
917,917,EST
918,918,CST
919,919,EST
920,920,CST
921,921,NA
922,922,NA
923,923,NA
924,924,NA
925,925,PST
926,926,NA
927,927,NA
928,928,M
929,929,EST
930,930,EST
931,931,ESTCST
932,932,NA
933,933,NA
934,934,EST
935,935,NA
936,936,CST
937,937,EST
938,938,CST
939,939,A
940,940,CST
941,941,EST
942,942,NA
943,943,NA
944,944,NA
945,945,NA
946,946,NA
947,947,EST
948,948,NA
949,949,PST
950,950,NA
951,951,PST
952,952,CST
953,953,NA
954,954,EST
955,955,NA
956,956,CST
957,957,NA
958,958,NA
959,959,EST
960,960,NA
961,961,NA
962,962,NA
963,963,NA
964,964,NA
965,965,NA
966,966,NA
967,967,NA
968,968,NA
969,969,NA
970,970,M
971,971,PST
972,972,CST
973,973,EST
974,974,NA
975,975,CST
976,976,NA
977,977,NA
978,978,EST
979,979,CST
980,980,EST
981,981,NA
982,982,NA
983,983,NA
984,984,EST
985,985,CST
986,986,PST
987,987,NA
988,988,NA
989,989,EST
990,990,NA
991,991,NA
992,992,NA
993,993,NA
994,994,NA
995,995,NA
996,996,NA
997,997,NA
998,998,NA
999,999,NA
